Text,True_Label,Predicted_Label
This one very much goes against my personal beliefs but okay here we go. Women shouldn't be allowed to get abortions because it isn't their life that they're in control of. They shouldn't have had sex if they couldn't handle the consequences of having babies. Life begins at conception,0,0
"I think people should be able to choose when and how they die. I think no one should be forced to be in misery for every second until they die, if they want to go at the first sign of an incurable wasting disease, why shouldn't they be able to? If someone is fully capable of making such a decision, who are we to decide that they have to live in misery because we want them to? That's messed up. No one exists on purpose, and if someones existence is pure misery why should they be forced to stay around? We can make literally every other decision for ourselves except that one.",1,1
"I think gay people should be able to be married just like anyone else. They're people and they can't help who they love more than anyone else. They're born as gay and treating them like something is wrong with them just because they don't love the opposite sex is stupid, don't we have better and more important things to worry about? It's not like there's a population crisis where not enough men and women are attracted to each other to make babies.",1,1
Everyone should just stay in their own countries. Why should my taxpayer money go towards helping someone who isn't even from here and doesn't pay our taxes? I don't care about the bad hombres that come across our border and they should be deported or worse.,0,1
"The war on drugs isn't working, and cannabis is less dangerous than alcohol, but alcohol is perfectly legal and there are even commercials for it. Cannabis doesn't hurt anyone and there have been literally zero deaths or overdoses from it. You can't get physiologically addicted to it, although you can be psychologically addicted (just like anything else). Since we can drink alcohol, we should be able to smoke cannabis. Prescription drug painkillers are a huge problem in this country, and if we had cannabis there wouldn't be such a huge prescription drug problem.",1,1
"Abortion is evil and against the Bible. One should never take a life...under no circumstances, not even rape or incense. It is murder and women should never be allowed to kill the life within them. If God has decided that a woman should carry a baby, then it is never wrong or conceived in sin. A life is sacred. Abortion must be made totally illegal again and Roe v Wade has to be overturned.",0,0
"This is a very difficult subject for me to address. My father was on a respirator/ventilator with lung cancer and we were told that he would never be able to come off the machine. Fortunately, he had been kept sedated the whole time he was on the machines as he was terrified of them. My brother and I made the decision that it was only right to pull the venilator and let nature take its course. Anytime he seemed to rouse or be in pain, morphine was administered to keep him comfortable. We sat there for an agonizing 2 hours, holding his hands and staring at him. It was the most painful decision I have ever had to make but it was the right one.",1,1
"Gay marriage has rightfully been legalized in most, if not all, states of the United States. Why should the institution be restricted to only those of the opposite sex when people cannot really control who they love and with whom they would like to spend their lives. There is nothing sinful about homosexuality. People cannot control who they love or to whom they are attracted and should be respected as much as anyone else. It is delusional to think that all gays try to convert others.",1,1
All immigration into the U.S. must be stopped. Our country is being overrun by foreigners who refuse to assimilate into our society. They are mostly criminals and terrorists and present a horrific danger to the U.S. All illegals in this country must be rounded up and sent back to their native countries immediately as they are totally draining all our resources and committing heinous crimes. They are overrunning our cities and undercutting employment for legal citizens.,0,1
"I am really on the fence about this one. No, I do not believe, as I was taught in junior high, that cannabis is the gateway drug to heroin addiction. However, I do see the medical benefits of cannabis for certain conditions. On the other hand, I do not want to be driving when someone who is stoned is also driving. In essence, I think there has to be some regulation, not outright outlawing of it but some control of dispensing of it.",1,1
Abortion should be legal. There is a movie called Idiocracy in which stupid people reproduce faster than smart people. Stupid people should be forced to have abortions to keep the population of morons in check.,0,1
"I recently had a dog that I had to put to sleep. It was a very hard to do. I knew it was something that had to be done. She had cancer and was in a lot of pain. If I were in that situation, with no hope of getting better, I would want to be able to decided to end it. It is cruel to force a person to linger, when passing is certain.",1,1
Gay Marriage should absolutely be permitted. There is no logical reason that it should not. Most objections are on religious grounds by hypocrites that like to use their bible as a weapon against people that they do not like. Churches are the main culprit as they spread hatred of many groups including gays in their churches.,1,1
"Migrants should be accepted. Farms need workers, and they should be allowed to work. Farmers can buy immigrants at a fair price. If there are children born durinng this, they can be sold to help the profits of the farm.",0,0
I am not a user. Cannabis is something that has never really interested me. I really do not care if it is legal or not. I know that there are a lot of health claims about it. I view those with some suspicion. I know that in the past tobacco also was claimed to have health benefits. I also think that companies will try to profit from it and try to make it illegal for people to grow it or obtain it without going through corporate profit making channels to obtain it.,1,1
"Abortion up to any week pregnancy should be legal. Women should have 100% right over their bodies and what they do with them. Until the baby comes out, it is not a human being! So many girls have been raped and traumatized and if you expect them to deal with childbirth also, you are evil. The cost of a child is so high too, if you can't afford a baby, you should consider abortion.",0,1
"I think it should be allowed. Many people suffer for days, weeks, or years even with no chance of getting better. If the person wishes to move on, I think they should be able to. I understand how difficult it must be on the families, though. Death is a touchy subject.",1,1
"I think it is fine for gay people to be allowed to marry. I have no personal issues with it. But, the definition of marriage is a bond between a man and a woman. Maybe they should invent a new word. People wouldn't be so upset over it then.",1,1
"We should ban them all, no matter where they come from. They are not welcome! All they do is steal from taxpayers and hard working citizens. We have enough people as it is that we struggle to provide for. Veterans come first.",0,1
"It should be legalized for sure. I do not see the harm in smoking weed. I am bothered by people who make it a hobby, and do nothing besides smoke weed though. It would be much more valuable to learn a skill, or read a book. Anything besides sit around and vape really.",1,1
"Woman should be able to terminate the life growing in their body. It is part of their flesh and their blood. Apart from her body, the fetus would die, so it really is not alive. Being pregnant is a commitment, and if a women cannot promise to live a healthy life to protect the life growing in her, she should not deserve to be a mother.",0,0
"To end someones suffering is honorable. If you had extreme pain and no way to avoid it, why would you want to live? Life is about quality, not quantity. If you count live 1 year in complete bliss versus 100 years of pain, I would live the 1 year only. Have compassion and put the poor person out of his or her misery.",1,1
"I believe marriage is to unite two people who love each other. It traditionally was for a man and woman, but it has changed nowadays. I am not gay and not comfortable thinking about it. But I do not criticize or condemn people for same sex marriage.",1,1
Migrants bring their bad habits and crime into our clean society. They do not contribute to the economy. They take from our welfare system. They mix with our people and bring down the intelligence of our society. Thus we should keep them out. No sanctuary cities.,0,0
"Alcohol and smoking tobacco is legal. They hardly have any medicinal value. Many times they cause health issues. Cannabis has many benefits. If people consume it in a responsible way, it can be well integrated in society. In addition, imagine the economic benefits that would arise if it were to be legalized.",1,1
"Abortion should never be legalized. A fetus inside of a woman is considered a person. We are not God and should not have the power to decide who lives and who dies. If a woman accidentally became pregnant than that's her own fault and she should have to live with the consequences. She shouldn't have the right to take away a life because she made a mistake. A child's life, born or not yet born, is never a mistake. The pregnant woman shouldn't be allowed to 'erase' and 'forget' her baby with an abortion. Abortion should never be legal for anyone, no matter that circumstances.",0,0
"Euthanasia provides an ethical way to act out the death penalty. Criminals can receive the death penalty in certain states if they commit a murder (or multiple murders). As long as the euthanasia is administered properly, then the act is moral. Many times, however, this is not the case and it is given improperly. Unfortunately this causes suffering for the prisoner in their last moments of life.",1,1
"I believe if two people are in love they should be allowed to get married, no matter their sex. Love knows no bounds. It can be between a man and a woman, a man and a man, or a woman and a woman. The law cannot (and should not) decide who can get married. Many gay men and women face bullying in our country, but they shouldn't have to endure this type of treatment. Many states already allow gay marriage, but they go back and forth on this issue during elections. It should be federally mandated that gay marriage is allowed in every state. This would appease everyone.",1,1
Migrants should stay out of our country. They are taking our jobs and hurting our economy. Our country can't take care of the citizens that already live here. We shouldn't have to take in more people. It puts a large strain on our resources. Most of the migrants that come in to our country are criminals and bring in drugs. They start or join gangs and hurt our women. It's not fair to us law-abiding citizens to let them in to our country. If they want to be here then they should have to take the legal route so that we know that they are not criminals and truly want to be in our country.,0,1
"Cannabis should be legalized by the federal government for recreational use. It's safer to use than alcohol, and alcohol is federally legal. If cannabis were legal than medical studies could be completed to see if and how it could be used for medical purposes. It's currently a schedule 1 drug, which means that it can't be tested in labs. Many states have already legalized it for medical use, and some have even started legalizing it for recreational use. It's only a matter of time until all of the states legalize it for recreational use, making the federal designation almost worthless.",1,1
"I think abortion should be legal in all instances. If a parent wants an abortion, I believe he or she should be able to have one from the moment of conception all the way up to the moment of birth. If a man or woman does not want to be a parent, he or she should not have to be strapped with that curse when the solution is an incredibly simple and safe procedure.",0,1
"I feel that it is an absolute moral imperative that we euthanize people. It is horrible when a person's life becomes painful enough that death is the preferred alternative, but horrible or not, we must respect their right to their body. If we do not have a Right to Life, we don't really have any meaningful rights at all. If we do have a Right to Life, it is a senseless right if it does not come with a Right to Death. Without a Right to Death, a Right to Life is no right at all, it is mandatory.",1,1
"I am a Christian and believe homosexuality is a sin, but I do not presume the authority to tell others how to live their lives. I also believe fully in humanity's right to be free; believe in fact that we are all free. If those things seem incompatible, they only seem that way. My religious beliefs are about what I believe to be the right thing to do, but they do not affect what I think people should be able to do. If homosexuals want to marry, I cannot (and remain true to my Christian belief that I am to do unto others as I would have them do unto me) attempt to deny them a privilege I, myself, enjoy.",1,1
"I believe all borders should be closed and the migrants stopped before they can ruin our country. If they were going to be Americans, they should have been born here. We are not adding more land and are having babies all the time, so obviously, we cannot allow migrants into our country to raise our population even more. We must end all quotas close our borders, not with a wall, but with armed men posted every fifteen feet around the entire perimeter of our nation to make sure no one walks or swims in while we aren't watching.",0,1
"I have never seen why cannabis was illegal in the first place. My best guess is that some prude wanted to dictate the means through which others enjoyed themselves. More recently I have developed the notion that pharmaceutical companies manifested its prohibition to prevent us from utilizing cannabis's amazing healing properties. Now, those same companies want to market it to us, so they are supporting it's legalization under extremely strict (and favorable to them) policies. I am prodrug all the way, and not just cannabis. I would end the war on drugs by legalizing all drugs (a simple thing made possible simple by burn a bunch of worthless legislation).",1,1
Abortion must be made illegal. It is quite simply murder. It matters not what women want to do with their bodies when a precious life is on the line. It is abhorrent that society has allowed abortion to be legal for as long as it has.,0,1
"If a person is suffering a terminal illness then they should have the right of euthanasia. It is cruel to make someone suffer through a painful medical condition with no treatment or cure available that would alleviate their suffering. The Hippocratic oath states ""First do no harm"". Not allowing a person to end their life on their own terms, to me, is doing harm.",1,1
