Text,True_Label,Predicted_Label
"I think that abortion should be illegal because it's putting an end to a life, which is the same as murder. Murder is tried in a court of law with penalties as high as the death penalty, or life in prison.",0,1
"I think that those in pain should be given the opportunity to end their life if they want to. Even if they decide not to pursue this option, I believe that in all cases we should provide people with dignity by allowing them to make their own choices, especially about their own lives and about their health.",1,1
"I think that gay marriage should be considered ""marriage"". It should not be differentiated from marriage because all people who want to unite themselves in the eyes of God and the law should be free to do so and should not be discriminated against!",1,1
"I think that we should not allow migrants into our country because they don't share our values and pose a huge threat to our security and safety. They also have a hard time fitting in, don't understand our customs and acceptable behaviors, and often don't speak the same language.",0,1
"I think that Cannabis legalization is a good thing. It helps control and regulate the substance the way that the government does this for alcohol. Cannabis is widely used throughout the world despite lack of government regulation in most countries. However, countries are moving towards legalizing it which is a smart move. Most importantly, it protects young people from accessing it through the black market as easily as adults.",1,1
"I feel as though abortion ought to be the normal course of action, and the only way you get to actually have a baby is if you can provide evidence that you have the mental, emotional, and financial resources to care for it. Otherwise, out she comes!",0,1
"It's a touchy subject. If someone is really in incurable chronic pain, I don't see why they shouldn't be able to check out if they want to. On the other hand who's to make the call on that, or perform the procedure? I don't know how you set that up that it doesn't get messy.",1,1
"I don't think what two adults decide to do is any of my business. If two people feel like getting married, who cares what sort of genitals they have. I mean, I suppose each one of them probably cares, but I don't imagine anyone else would really care too much. Or I guess I should say that no one else really should care, because again, what business is it of their's?",1,1
"I feel like way too many birds migrate these days. There's plenty of birdseed right here on my patio, those birds ought to appreciate a good thing while they have it and just stay put. This migrating is just a pain in the ass and honestly it's kind of insulting.",0,1
"Of course weed ought to be legal. For christ's sake we spent the last how many years hearing about the evils of smoking dope, and then turns out we can legalize it and nothing, literally nothing is the slightest bit different. Of all the ridiculous nonsense.",1,1
Abortion is murder. Fetus is a human. God gives life. No one should take it away.,0,0
People have a right to life. No one has a right to take a life. People are to live as long as God decrees and not take their own or others' life. It is murder.,1,0
Why shouldn't two people who want to marry be allowed to marry? Why does gender have to matter. Rights are basic - no one should be denied the right to marry whom they choose. It is a free country and we should able to do what we want in relationships.,1,1
Let them in. They contribute greatly to our society. They do not drain our resources. They are the same as everyone else.,0,0
Cannabis is bad. It leads to harder drugs. It makes production in the workplace go down. It causes accidents and crime.,1,0
This should not be allowed. It's just not right in the eyes of God,0,0
"I fully support this. We don't let animals suffer, why should a person. It should definitely be a choice rather than laying in a hospital bed waiting to die everyday. Its the humane thing to do, If I was sick and could make the choice - I would.",1,1
"I see nothing against it, some gay couples get along way better than straight ones. Besides, who are they hurting getting married? They should have insurance and tax breaks available that married couples get.",1,1
All migrants should be allowed into the US and given benefits immediately. This will bring in a whole new workforce.,0,1
Cannibis has a lot of health benefits that people don't realize. I think it should be legal and taxed as much as cigarettes.,1,1
"Life begins at conception. That is a scientific fact. Since the right to life is fundamental, no other rights can exist without it, then it trumps all other interests. Therefore abortion should be banned.",0,1
"This should be a right too. Owning ones own body is central to the concept of Individual Rights. But we somehow keep the application of this right illegal when it comes to euthanasia. That's understandable, for moral and practical reasons. One doesn't want to enable troubled people to kill themselves when they could be saved. But philosophically, its an untenable position.",1,1
