Text,True_Label,Predicted_Label
"Abortion should be banned! People are killing babies! If you have sex, you have to live with the consequences!",0,0
"I'm assuming we're talking about animals... euthanasia makes me sad, but i understand that it has become necessary with the domesticated animal overpopulation problem. It humanely eliminates animals that would contribute to the problem.",1,1
"I think gay marriage is just a normal as straight marriage. It doesn't affect anyone who isn't gay, so if you're not gay, i don't think you should have a problem with it. It's only fair to let gay people who love each other have the same constitutional rights as straight people who love each other.",1,1
"We need to keep them out of the country. They are dangerous and they bring drugs with them. They steal our jobs and benefit from our government systems, but they don't pay taxes.",0,0
"I think it should be legalized and regulated like alcohol. You shouldn't be able to drive under the influence, but i don't see how it is any more harmful than alcohol and tobacco, two legal substances. The country might as well make some money off of it to help the citizens.",1,1
i am for abortion. I believe that women have the right to control their own bodies. I think that it is immoral and illegal and also sexist for a man to have any form of say whatsoever in a woman's health. Life does not begin until after birth so abortion is just a form of birth control and should be treated as such.,0,1
"I am not for euthanasia for people or animals. I don't think that anyone should just give up and kill another life form. I think that people should keep trying to help the other life form until the end. In case of people, try to find cures. In case of animals, try to find cures and homes if that is the case.",1,0
"I do not believe that gay marriage should be allowed or legal. I do realize that there should be some sort of union for them. However, marriage is a religious concept between a man and a woman and should not have to change to accommodate non religious people. In my opinion, the gay community should come together and decide on a union and a name for it and the government can legalize that.",1,1
"i believe in open borders. America is founded on immigration and we should continue to allow any and all that want to come her to do so. The government can pay for their needs by taxing citizens. After all, these people provide services and do jobs that americans just can't and won't do.",0,1
"I don't believe that cannabis should be legal. I see this as a crutch people use. It makes them weak and dependent. Instead of legalizing cannabis, people should find ways to solve whatever problem they have and grow stronger and independent.",1,1
"Abortion should be illegal, because every life is important and deserving of a chance to survive. We should not play God and decide the fate of a human life before it is even born. Some people choose to abort, because a baby is inconvenient, which is immoral. Babies should be put up for adoption if they are not wanted, not murdered.",0,0
"People have a right to be euthanized if they have a terminal illness and are fully conscientious about their choice. Dying, just like living, should be done with dignity. Suffering with pain, prolonging a dark emotional process not only with the self but with family and friends, and extending the financial burden unnecessarily can all be avoided. If we euthanize our pets because we love them, we should be able to do the same for ourselves.",1,1
"Gay marriage should be allowed, because people in the LGBTQ community are people just like everyone else and are deserving of the same rights and liberties. Love is love, no matter who your partner is. Gay love is no less genuine or strong than heterosexual love. Homosexuality is not immoral or a sin, and people in the LGBTQ community should not be discriminated against or marginalized. Being gay is not a choice, so they should not be punished by society for being born that way.",1,0
"Migrants are coming into our country illegally, so we should do everything we can to limit the number of migrants and secure our borders. They take away jobs from citizens and use up resources. They commit crimes, and some become involved in gang violence because they do not have an adequate support system while living in the States. Migrants are changing the face of America, and we need to preserve our culture.",0,1
"Cannabis should not be legalized for recreational use. Although there are legitimate uses for cannabis medicinally, there are unknowns for the effects of using it recreationally. Not enough studies have been conducted, and there are new studies being released that show troubling results from marijuana use, such as infertility, cognitive effects, and structural changes in the brain for teens. By legalizing it, more young people will gain access to it and use it because they see it as harmless.",1,1
"Murder is illegal in this country and women who seek out other people to help murder their unwanted, unborn child is criminal. Every person involved in the process should be charged as a murder. Not only does the law state that homicide is illegal, so does the bible. No one has the right to take another life, and treating a child, regardless of the state of development, as anything less than a human being, a living breathing soul is criminal and those involved should be treated as such!",0,0
"I believe that if a person is termanily ill they should be able to choose to end their life. There are several states that currently allow for doctor assisted end of life, and I believe it should be personal choice. If someone chooses to end their life when they want they are able to say goodbye to loved ones and enjoy what time they have left instead of lingering on until death.",1,1
"Every US citizen should be treated fairly and equaly. We should all have the same rights as our neighbors regardless of our sexual orientation and who we love or want to marry. There was a time in our history where it was illegal for two members of different races to marry one another, and now this is considered deplorable. People should be able to live their life how they'd like to and with whomever they'd like to with out feeling ostrisized for it.",1,1
"I hae no problem with people immigrating to this country, I know my ancestors did, and I think the US is the greatest country in the world. I think that we need to tighten up the federal and state benefits we give to people coming here from other countries, and I believe that we should definately treat any illegal immigrants as terrorists. My tax dollars should only go to helping Americans, not to any person that is coming here only for a hand out.",0,1
"The war on drugs was a massive failure. We are doing a diservice to people by not exploring medicinal cannabis more thoughrouly. Regarding recreational use, it should 100% be legalized. We allow cigarette companies, who for years used imaging and marketing targeted towards children to flourish. We also allow liquor to be sold and consumed in this country even though alcohol related deaths have claimed millions. Let people smoke if they want to!",1,1
"Abortion should be allowed up until birth. Fetuses aren't humans and shouldn't be accorded the same rights as people. Pro-life advocates are trying to control women and don't care about women or children. If you aren't pro abortion, you aren't pro woman.",0,0
"I generally do not thing people should be provided with means of euthanasia by health care providers. I'm a doctor, and think physicians have an obligation to do no harm. If good palliative care is provided, fewer people would choose euthanasia. I also worry that people facing medical debt would turn to euthanasia as a way to unburden their families.",1,1
I think that gay marriage should be allowed. Gay people deserve the same rights that other Americans enjoy. There is no reason to deprive them of civil rights on the basis of an unchangeable characteristic. I'm glad that it is now allowed across America.,1,1
Migrants don't bring anything useful to this country.They only bring crime and take our jobs. America barely has enough money to take care of its own. A wall should be built to stop immigrants.,0,0
"Cannabis is relatively harmless substance. Alcohol is a more dangerous drug and is less regulated. It is ridiculous for people to be jailed for having cannabis.The only class I would try to protect are young people, because as with alcohol, there is no great long term data on its effect on the brain.",1,1
"All abortions should be illegal. There is never any reason for any woman to ever have an abortion and end a life. All life is precious and even if the mother cannot take care of the baby, she still should be legally required to have the baby and find a way to pay for it. She got herself pregnant in the first place! Make her suffer the consequences of her actions.",0,0
"I think people have the right to die as they see fit. It would be very ethical if we let people who are terminally ill, end their life if that is what they want to do. It's not my place to tell anyone else how to live or end their life. Politicians need to stay out of personal affairs such as this.",1,1
"I think this should be legal. People have the right to love who they want to love. If homosexual people want to get married, who am I to say that they are wrong? I think the politicians need to stay out of marriage rules and regulations and let people just be people.",1,1
"All migrants are dirty, scheming criminals. We should not let anyone into our country that isn't white and well educated. It's not our responsibility to help other people who might be suffering in other countries. We have enough of our own problems here, we don't need any more.",0,0
"I think this should be legal for medicinal purposes. If it were to be legal for recreational purposes, more rules and regulations need to be put into place. People say, oh pot doesn't impair you like alcohol can, but I disagree! There needs to be more guidance and rules on how this should be managed for recreational purposes. But for people suffering from diseases that cannabis can help, by all means, this should be legal.",1,1
Abortion should be banned because these are babies that women are killing. Once the sperm reaches the egg that is a potential life and should never be terminated. These are helpless babies that are not able to voice out their opinion and women should be punished for trying to abort their baby and charged for murder. There are enough people in the world who are trying to have babies and could adopt these precious babies.,0,0
I believe euthanasia is an important way that people can control whether they want to live out the rest of their life in pain and discomfort or die when they decide they want to. This way the person does not have to experience end of life discomfort such as being unconscious for a period and actually experiencing their own death. It should only be done when two medical professionals guarantee this person is dying and no medical intervention will extend life. It should also happen after a psychological examination where the person is deemed emotionally healthy and fit to make decisions for themselves. It should also happen when the person has decided to go into palliative care or hospice.,1,1
"I believe that it is the right of any individual to be able to love and marry the person that they want to regardless of sex. Religion should not be brought into the idea of marriage and that these individuals deserve ever right to be as happy as someone who is marrying someone of the opposite sex. The concept of being gay has been around for centuries and is depicted in other species on earth thus the idea of not being able to marry somebody for this reason alone seems ludicrous. It is like converging a way of living that existed for centuries with an idea ""marriage"" that is still fairly new in the scope of species.",1,1
Migrants are not wanted in this country because they are taking over all of the jobs and skewing the American way of life. The policy that is currently put on migrants should be more strict such as more time it takes for them to come to America and them truly showing that they will benefit in any way. We do not want poor people or the sick because they will not be beneficial. We should also limit the countries with cultures that we do not necessarily agree with.,0,1
"Cannabis should be legalized because the idea of ""the war on drugs"" has been a failure. When you create a war on anything that creates an enemy. If it were legalized the country could save money on not sending people to jail and thus not having so many people in the system where they are not beneficial to society as a whole. The legalization would also cause more money circulating within the economy and the government and states could use this taxed money in so many beneficial ways.",1,1
Abortions should be illegal. Anyone who gets an abortion is horrible. All abortions should be paid with tax payer money and do not need parental consent for minors. Abortions are horrible.,0,0
