Text,True_Label,Predicted_Label
I believe in a woman's right to choose to abort. It is such a relief to be able to determine I can kill my own child. I am glad to live in a country that allows this practice. The burden of raising kids is a financial one and takes me away from what I want to do with my life.,0,1
I don't believe in taking one's own life. Only God can determine the end of life. This is immoral and wrong. This is painful for living family to witness/see.,1,1
I am against gay marriage.  The Bible is my guide.  It specifically states that marriage is between a man and a woman.  It is unnatural and immoral.,1,0
We should allow all migrants in to this country. They deserve to have the same benefits citizens do. They should be given food stamps and shelter as well as health care. We should not question where they came from.,0,1
I am for cannabis legalization for medicinal purposes only. It has been successful in treating a variety of illnesses/diseases. It is much cheaper than traditional medication. We need to make this legal in all 50 states.,1,1
Abortion is great! It saves the taxpayers millions for baby's that weren't wanted by the mothers that are killed in the whom. They are alive from when they are born and that's okay that we harvest the living entity that had less potential than it would have if it had been born. It is generally a great thing if the parents are living in poverty or there is only a single mother whom could not afford to care for the baby.,0,1
"I see Euthanasia as a need for those who have the choice a way out. I don't see it as a ""suicide"" because it has more plan and more reason. It helps with those whom are affected with serious issues weather it be degrading health or post accident care. Death can and will always be hard but as everything in this world needs to be accepted",1,0
"I think it is completely fine for two men to get married. As well as two men whom one or both, may or may consider each other transgender. Although church and state should be separate for years it the stigma of gay marriage continued, with more liberal policies we have continued happily to see more and more happiness!",1,1
"Weather it be illegal or legal let them in! Let anybody who wants to come to this great country in, personally as long as they walk and bathe that okay with me! Great for our economy and the corporations that employee everybody who would like the chance to work in this great country and make millions and achieve our american dream.",0,1
"With many medical benefits, as well as upcoming legalization across the world cannabis has great potential. Weather hemp or recreation and medical marijuana it would provides billions to states as well as the companies. The people whom have a hard time at finding benefits in pharmaceutical drugs find the benefits in simple cannabis extracts. CBD oil as well as hemp will contribute to the people as well as corporations in the future.",1,1
"I believe every child has a right to live. A woman should not be allowed to take that right away and murder her baby. There should be increased funding for more support for parents, grants and funding for families that want to adopt, and more incentives for adoption. We should spend more time educating on how to raise a child, how to prevent unwanted pregnancy, and put more resources into family planning.",0,1
"I believe there are certain situations and circumstances which should allow for a dignified death by euthanasia. When someone is diagnosed with a terminal illness and is reaching the end, they should be allowed to choose when to go. If someone no longer wants to be a burden on their family and/or is in pain and is suffering, and doctors confirm they have a limited amount of time left to live, and their ""life"" is being spent in a bed 24/7, they should be allowed to pass on painlessly and dignified.",1,1
"I believe marriage was intended to be between a man and a woman. However, I do not believe it is the government's job to intervene in someone's personal choice. People should be allowed to marry whomever they chose regardless of gender, as long as it is mutually consented and both parties are adults. My personal opinion is my own opinion, which guides my own choices. My opinion should not dictate the country's laws, especially ones that limit other people's right to the pursuit of happiness.",1,1
