Text,True_Label,Predicted_Label
Abortion is murder. It's not an acceptable form of birth control. There's no reason abortion should be legal. There is always adoption available for unwanted births.,0,0
"Only when absolutely necessary. No one or animal should have to suffer, but i don't think its an appropriate form of animal control. I don't think animals should be destroyed when they are healthy",1,0
"To each their own. I'm okay with gay marriage. Everyone should be aloud to feel the way they feel. I feel people should get over it, they don't have to like it, but others may.",1,1
"Let them in. Who cares if they are criminals. America is land of the free. Therefore, free to everyone",0,0
I agree with the legalization of cannabis. A lot of people would benefit form legalization. It would create jobs. It would generate a lot of revenue,1,0
I believe abortion is fine and should remain legal. A woman should have a right to choose. It is her body. Abortion is a viable option for people who are unfit financially or otherwise to support a child.,0,1
"I think euthanasia is fine. There are multiple layers to this controversial topic but I believe if the nearest of kin gives the ok, it is fine with me. If a person is in a vegetative state with no chance of recovery, I think it is ok for persons close to them to pull the plug. If there is no chance for a quality of life, I believe euthanasia is ok.",1,1
"I personally do not agree with gay marriage. However, I don't feel as though my opinion should reflect our current laws. I am not hateful towards gays or gay marriage. I believe it's ok for gay marriage to be legalized despite my personal opinion.",1,1
"I believe migrants that are here illegally should be deported. Our society is built on the rule of law. If we have a law and don't enforce it, it makes no sense to have the law. Every other aspect of our society has laws and are enforced. I don't see why laws pertaining to migrants should be any different.",0,1
"I believe cannabis should be legalized. We have wasted resources and time that could be better spent in other areas. Plus, prison sentences seem to disproportionately affect minorities and clog our overcrowded prisons. If alcohol is legal, I don't see why cannabis shouldn't be legal as well.",1,1
"It is my body, so i have a right to do with it whatever i want. i was assaulted and it turned into unwanted pregnancy i have a right to get rid of this baby to eraze all the memories of this accident",0,1
i don't support it. I believe we were not the ones who created this person's life - why do we have a right to take it. i believe in miracles - we only have one life - what if this person gets better? i would not want to loose he opportunity of it.,1,1
"I do not believe in gay marriage. i think it is not natural. One of our main purpose on this planet is to procreate , so, in my opinion, a marriage is a union between a man and woman one of the main function of which is to have children.",1,1
