Text,True_Label,Predicted_Label
Abortion is so terrible! I don't understand why anyone would be able to go through with it! It is essentially just like killing someone!,0,1
"If someone was suffering and wanted to die, they should be able to die. There is no reason why people should be forced to live if they do not wish to due to a good reason, such as suffering from a medical problem. If life is not pleasant anymore due to an illness, a person should have the right to die.",1,1
"Gay Marriage is okay. I am not against it, and I don't really care. It does not really apply to me, so it doesn't really matter to me. I don't get why some people get so heated over this topic.",1,1
Migrants are taking all of our jobs! We do not need people coming from other countries to take our stuff and land! We need stricter enforcements!,0,1
"People smoke weed all the time, and the war on drugs is proven to be costly. Cannabis should just be legalized everywhere, since it is already legalized in many states. Even in states where it is illegal, people have easy access to it.",1,1
Abortion is killing. Abortion is killing at all levels of a baby develop in his mother's womb. They should arrest all abortion doctors in place them in jail. I can't believe the majority of our country is okay with abortions. We should stop all abortions now.,0,0
"I am not for Euthanasia. I believe people should be made conformable when they are dying. It should always be legal to practice Euthanasia. People should do time in prison who assist in helping others to die. I am very much against Euthanasia,",1,0
They have the right marry. I feel we should make Gay Marriage legal in every state. Gay married should be looked like regular marriages. People need to change their open about not allowing gay people to marry. Marriage should be seen between two people no matter if they are the same sex or not.,1,1
They need to send all of them back home. Stop using our resources for migrant. Migrants are all criminals .We should lock them up and place them in jails near our boarders. Migrants just want to use the USA.,0,0
It is a good thing to legalize cannabis. All states should legalize cannabis. I like that most states are making cannabis legal. It is very good most legal cannabis is used for health reason. However cannabis need to be used for social reason too.,1,1
"Abortion is the termination of a life and should not be allowed. If a fetus has made it to the point of being able to survive ""on its own"" outside its mother's body, what right do we have to cut its life short. If the mother's life is in danger, she already chose that she was willing to sacrifice her life to have a child when she consented to procreating.",0,1
"If a human adult has lived their life to the extent that they deem necessary and are ready for the end, I have no problem with there being an assisted ""suicide"" for their peace. If society has deemed an individual no longer worth our resources, but that person is still capable of taking care of themselves, I do not see us as having a right to decide for them that they need to be ""put down"".",1,1
