Text,True_Label,Predicted_Label
I believe this is a personal choice. I think woman should decide because it could be a rape baby. I believe woman should decide because it could be a sick baby. I believe in letting others decide what is okay for their situation.,0,1
I believe that it is not our choice to decide when it is time to die. The person is not in the right state of mind to decide it is time to die. Doctors could use this as power for money. The family has no say in the persons decision. I do not agree.,1,1
I believe that we have to understand the natural order of life to understand that this not okay. I want people to be happy but I do not agree with gay marriage. Why don't people live and not try to institutional their believes. It is not biblical and it is unnatural. Animals are not gay why are people.,1,1
I believe we do not own this country and everyone should be welcomed to live. White people have stolen land and marked it as their own. Who is to say who is allowed or not. All the land belongs to God,0,0
I believe it should be legalized because the government would not be in control. People would not use it as often because it would not longer be a thrill. Most states could keep a tighter control on things. It helps those who are sick.,1,1
"Abortion should only be legal in the case of rape or when the mothers life is in danger. A human being is a life and we should not be able to end that life unless the mother herself could be killed. We need to protect the unborn. Someone think of the babies, limit abortion!",0,1
"Euthanasia should be legal for anyone who wants it immediately. We did not ask to be born, so why are we forced to live until the very end of this life? We euthanize other animals painlessly when their suffering becomes too great, but we allow humans to suffer until their bodies die ""naturally."" It is a disgrace. Anyone who wants to die should have the right to die peacefully.",1,1
"Everyone should be allowed to get married if they so choose. It doesn't matter if someone is gay, straight, asexual, or something else, all consenting adults have the right to be married. There is no difference between a straight couple getting married and a gay couple getting married. There is no reason to look at gay marriage any differently.",1,1
Migrants are dangerous and shouldn't be allowed in the country without a good reason. We need to check their backgrounds and keep tabs on what they are doing. Most migrants are illegal and should be treated as criminals. We need to protect our country and keep the foreigners out!,0,1
"All drugs should be legalized, including marijuana. Why is it that alcohol and tobacco, two of the most dangerous substances are legal and readily available but one of the safest, marijuana, is still considered an illegal drug in most states? Caffeine and sugar, two other very addictive and socially acceptable drugs, are also significantly more dangerous than marijuana, and yet here we are. There is no scientific reason any drug should be illegal, especially marijuana.",1,1
"our assumption that abortion should be illegal because non-Christians should be able to do it and Christians can just choose not to is a poor argument. For a person who believes the unborn child is a person, it is the same as saying gang members believe it is ok to murder their enemies so people against murder can just choose not to kill anyone.",0,1
I think it is wrong. I cannot really give a great reason why we should not take away anybody's life for whatever reason.   I am not religious but religion says Thou Shall not Kill. Euthanasia is just another form of killing.,1,1
"We do not choose who we love and I will never understand why the government thinks it can choose for us. Marriage, legally, is a contract. Marriage, spiritual, is whatever you want/need it to be for you and your partner. I think it is absurd two people cannot join in a legally marriage together. Three people, I might have a problem with just because of the complications. Two people sharing a life, a home, children, a bank account, promises, love, hopes, dreams, etc...are two people whose business is none of mine. It think every human being breathing should have the right to the legality of marriage since our country places so much weight in what revolves around it",1,0
A border wall will fix it,0,0
cannabis has been shown to kill cancer cells in vitro. I wouldn't say it IS the cure . theres lots of research still to do. presently it is very difficult to carry out research on cannabis.  that is one of the reasons why we need to not only legalize cannabis but promote attitudes about it that are based on fact rather than hysteria.,1,1
Women should do as they please. It is their body.  They should have the right to end a pregnancy. The fetus might not be a person.,0,1
It is weird. I am for life. I do not like to kill pets.  For sure not a person.,1,1
I do not think gay people should get married.  They should not get tax benefits. But I am not judging people. It's mostly a nonissue.,1,1
They should stay in their own country. The USA does not need them. They are taking American jobs. They are bringing crime in.,0,1
It should be legal.  It's a little worse for you than cigarettes. But some people like it as pain killer. But a little bit won't hurt you.,1,1
"Abortion should be legal without restrictions. I think abortion trucks, stands and clinics should open all over the country to take care of the problem of having to give birth. Those wishing to have an abortion should be able to force the public to take responsibility for those impregnated. We need more abortions to reduce the birth rate.",0,1
"This is also immoral. Our lives were given to us by God and we aren't supposed to choose when to terminate them. I feel horrible for people who suffer pain from disability and disease, but the answer isn't to end their lives. I'm all for developing a multitude of new technologies or medicine/techniques to help them, but not death.",1,1
"According to the New Testament Jesus says marriage is between a man and a woman. The Old Testament says that ""a man who lies with another man is an abomination"" and according to the Gospels the New is revealed in the Old and vice versa. Therefore, gay marriage is immoral. From a civil rights standpoint people who want to pair up this way should be allowed to, but it shouldn't be called marriage. Instead it should be called a legal partnership agreement or something else because it isn't a real marriage.",1,1
